,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%,Fecha
0,1129954,ISA       ,24120150490,21400.0,0.281162136832247,2021-04-29
1,556663,PFBCOLOM  ,16015350650,28700.0,-1.7123287671232834,2021-04-29
2,6363904,ECOPETROL ,14881832584,2310.0,-0.9433962264150941,2021-04-29
3,366032,GRUPOSURA ,7205133090,19600.0,-2.777777777777779,2021-04-29
4,116345,BCOLOMBIA ,3333689650,28500.0,-1.7241379310344862,2021-04-29
5,1268245,CREDIFAMI ,3170612500,2500.0,0.0,2021-04-29
6,229556,CNEC      ,2419787600,10590.0,0.28409090909091717,2021-04-29
7,153000,HCOLSEL   ,1843305000,12047.0,-0.024896265560170328,2021-04-29
8,100271,PFGRUPSURA,1711061120,16910.0,-2.254335260115603,2021-04-29
9,980442,PFAVAL    ,1118912628,1135.0,-0.5258545135845782,2021-04-29
10,418616,GEB       ,1099574801,2630.0,0.19047619047618536,2021-04-29
11,260093,MINEROS   ,1096964164,4200.0,-1.4084507042253502,2021-04-29
12,32998,CORFICOLCF,1075235210,32640.0,1.3664596273291973,2021-04-29
13,34783,PFDAVVNDA ,1066362390,30480.0,-2.1508828250401235,2021-04-29
14,69007,BVC       ,838446040,12180.0,-0.7334963325183352,2021-04-29
15,139760,CEMARGOS  ,737176165,5230.0,-1.5065913370998163,2021-04-29
16,66394,GRUPOARGOS,728466130,10810.0,-2.083333333333337,2021-04-29
17,27731,NUTRESA   ,613562910,22580.0,1.80342651036971,2021-04-29
18,128827,CELSIA    ,565325557,4370.0,-0.704385366962057,2021-04-29
19,18871,PFCORFICOL,509506000,27000.0,-0.2954209748892156,2021-04-29
20,15098,ICOLCAP   ,198611316,13120.0,0.35184335322013816,2021-04-29
21,21015,PFGRUPOARG,187459370,8820.0,-2.0000000000000018,2021-04-29
22,43403,CLH       ,174210600,4100.0,3.797468354430378,2021-04-29
23,39453,PFCEMARGOS,151400014,3840.0,0.7874015748031482,2021-04-29
24,1118,BOGOTA    ,87836340,78920.0,1.6093729882837637,2021-04-29
25,4025,EXITO     ,46287500,11500.0,0.0,2021-04-29
26,495,GRUBOLIVAR,35768250,72240.0,-0.22099447513812542,2021-04-29
27,3959,TERPEL    ,30613640,7560.0,0.0,2021-04-29
28,140695,ETB       ,30338808,215.0,0.9389671361502261,2021-04-29
29,3943,PROMIGAS  ,30115930,7635.0,3.175675675675671,2021-04-29
30,69846,CONCONCRET,28540507,405.0,0.0,2021-04-29
31,1500000,ENKA      ,22797000,15.13,0.1323626737260275,2021-04-29
32,9702,ELCONDOR  ,9799020,1010.0,-1.9417475728155331,2021-04-29
33,72683,PFAVH     ,9550254,118.0,0.0,2021-04-29
34,2188215,FABRICATO ,8490274,4.5,0.0,2021-04-29
35,1500,VILLAS    ,7305000,4870.0,-2.6000000000000023,2021-04-29
36,1013,GRUPOAVAL ,1132534,1160.0,0.0,2021-04-29
37,9592224,ECOPETROL ,22284190311,2332.0,1.97,2021-04-28
38,989507,ISA       ,21168329530,21340.0,-1.48,2021-04-28
39,464871,PFBCOLOM  ,13644542950,29200.0,-1.82,2021-04-28
40,952104,ICOLCAP   ,12509038384,13074.0,-1.21,2021-04-28
41,1018000,HCOLSEL   ,12280510000,12050.0,-0.45,2021-04-28
42,345499,BCOLOMBIA ,10117390680,29000.0,-1.76,2021-04-28
43,7100213,PFAVAL    ,8140597474,1141.0,-1.64,2021-04-28
44,483625,GRUPOARGOS,5240645760,11040.0,1.28,2021-04-28
45,239872,GRUPOSURA ,4885303600,20160.0,-2.14,2021-04-28
46,412049,CNEC      ,4357202210,10560.0,1.05,2021-04-28
47,124290,CORFICOLCF,4026007040,32200.0,-1.62,2021-04-28
48,1402412,GEB       ,3669089697,2625.0,0.57,2021-04-28
49,97810,PFDAVVNDA ,3047365330,31150.0,-0.92,2021-04-28
50,75216,NUTRESA   ,1635363740,22180.0,2.88,2021-04-28
51,69155,PFGRUPSURA,1208571210,17300.0,-1.93,2021-04-28
52,242288,CELSIA    ,1071728853,4401.0,-0.63,2021-04-28
53,105903,TERPEL    ,816867875,7560.0,-3.57,2021-04-28
54,62680,BVC       ,768126240,12270.0,-0.24,2021-04-28
55,95049,CEMARGOS  ,506645685,5310.0,-1.21,2021-04-28
56,101269,MINEROS   ,433923136,4260.0,-0.47,2021-04-28
57,3538,BOGOTA    ,275010960,77670.0,-1.06,2021-04-28
58,10145,PFCORFICOL,274153700,27080.0,0.3,2021-04-28
59,42247,PFCEMARGOS,162759683,3810.0,-1.68,2021-04-28
60,12158,PFGRUPOARG,109573565,9000.0,-1.64,2021-04-28
61,14306,PROMIGAS  ,107002675,7400.0,-3.52,2021-04-28
62,24694,CLH       ,97332200,3950.0,1.28,2021-04-28
63,211723,CONCONCRET,85709183,405.0,0.0,2021-04-28
64,115765,ETB       ,24742413,213.0,0.0,2021-04-28
65,261,GRUBOLIVAR,18906400,72400.0,0.15,2021-04-28
66,2029,ELCONDOR  ,2051319,1030.0,0.0,2021-04-28
67,10000,PFAVH     ,1210000,118.0,0.0,2021-04-28
68,832123,ISA       ,18350589110,21660.0,-1.77,2021-04-27
69,7795390,ECOPETROL ,17789306727,2287.0,0.75,2021-04-27
70,407046,PFBCOLOM  ,12069224240,29740.0,1.99,2021-04-27
71,550924,NUTRESA   ,11942478060,21560.0,-0.37,2021-04-27
72,365190,GRUPOSURA ,7528837830,20600.0,0.98,2021-04-27
73,555848,ICOLCAP   ,7329797802,13233.5,0.87,2021-04-27
74,5106407,PFAVAL    ,5925688342,1160.0,0.17,2021-04-27
75,175993,BCOLOMBIA ,5185655210,29520.0,1.83,2021-04-27
76,120068,PFDAVVNDA ,3753347450,31440.0,1.42,2021-04-27
77,1301073,GEB       ,3406996143,2610.0,-0.31,2021-04-27
78,196594,BVC       ,2399333700,12300.0,2.16,2021-04-27
79,209018,GRUPOARGOS,2306873220,10900.0,-0.91,2021-04-27
80,150000,HCOLSEL   ,1815750000,12105.0,0.28,2021-04-27
81,394908,CELSIA    ,1756040040,4429.0,-0.56,2021-04-27
82,326084,CEMARGOS  ,1751693745,5375.0,1.42,2021-04-27
83,37901,CORFICOLCF,1232286560,32730.0,1.3,2021-04-27
84,12543,BOGOTA    ,966172420,78500.0,2.35,2021-04-27
85,89244,CNEC      ,929606200,10450.0,1.36,2021-04-27
86,50636,PFGRUPSURA,899466600,17640.0,-0.9,2021-04-27
87,53262,MINEROS   ,226586604,4280.0,0.97,2021-04-27
88,24819,PFGRUPOARG,225701515,9150.0,0.55,2021-04-27
89,11948,EXITO     ,137666600,11500.0,-2.54,2021-04-27
90,100579,GRUPOAVAL ,116589982,1160.0,2.75,2021-04-27
91,12927,PROMIGAS  ,98273145,7670.0,3.65,2021-04-27
92,20311,PFCEMARGOS,79055518,3875.0,-1.65,2021-04-27
93,111616,CONCONCRET,45155342,405.0,0.65,2021-04-27
94,609,GRUBOLIVAR,44024160,72290.0,0.15,2021-04-27
95,805,PFCORFICOL,21721950,27000.0,0.0,2021-04-27
96,95165,ETB       ,20460772,213.0,-1.21,2021-04-27
97,2366,TERPEL    ,18529675,7840.0,1.82,2021-04-27
98,136762,PFAVH     ,16545388,118.0,-9.23,2021-04-27
99,13687,ELCONDOR  ,13893586,1030.0,0.0,2021-04-27
100,300000,ENKA      ,4533000,15.11,0.0,2021-04-27
101,255,CLH       ,994500,3900.0,0.0,2021-04-27
102,7838254,ECOPETROL ,17797772011,2270.0,1.89,2021-04-26
103,386542,PFBCOLOM  ,11278626930,29160.0,1.25,2021-04-26
104,267840,ISA       ,5948748140,22050.0,-1.12,2021-04-26
105,217382,GRUPOSURA ,4471927730,20400.0,-1.07,2021-04-26
106,134847,BCOLOMBIA ,3921587260,28990.0,0.66,2021-04-26
107,96336,CORFICOLCF,3119670800,32310.0,-0.12,2021-04-26
108,223593,GRUPOARGOS,2500091330,11000.0,-2.48,2021-04-26
109,171428,ICOLCAP   ,2256607655,13120.0,0.08,2021-04-26
110,1789534,PFAVAL    ,2067443016,1158.0,1.58,2021-04-26
111,78106,NUTRESA   ,1700463860,21640.0,-1.55,2021-04-26
112,39208,PFDAVVNDA ,1205001420,31000.0,3.2,2021-04-26
113,219688,CEMARGOS  ,1161016135,5300.0,1.24,2021-04-26
114,89764,BVC       ,1073592950,12040.0,-3.53,2021-04-26
115,330109,GEB       ,864344779,2618.0,-0.04,2021-04-26
116,202658,MINEROS   ,854009819,4239.0,0.07,2021-04-26
117,40122,PFGRUPSURA,718462000,17800.0,-1.0,2021-04-26
118,5291,BOGOTA    ,404052190,76700.0,1.52,2021-04-26
119,69537,CELSIA    ,308386187,4454.0,1.09,2021-04-26
120,3134,GRUBOLIVAR,224736600,72180.0,0.92,2021-04-26
121,6808,PFCORFICOL,183815490,27000.0,0.9,2021-04-26
122,12638,CNEC      ,130395890,10310.0,1.28,2021-04-26
123,12449,PFGRUPOARG,113331250,9100.0,0.55,2021-04-26
124,4559,PROMIGAS  ,33926570,7400.0,-0.07,2021-04-26
125,3242,TERPEL    ,24806410,7700.0,0.2,2021-04-26
126,15876,GRUPOAVAL ,17945004,1129.0,0.0,2021-04-26
127,35523,CONCONCRET,14333096,402.4,0.0,2021-04-26
128,470180,ENKA      ,7373492,15.11,0.0,2021-04-26
129,4612,ELCONDOR  ,4702454,1030.0,0.0,2021-04-26
130,1116,CLH       ,4264236,3900.0,0.0,2021-04-26
131,953,PFCEMARGOS,3693956,3940.0,0.0,2021-04-26
132,12450,ETB       ,2645840,215.6,0.0,2021-04-26
133,4800,PFAVH     ,648000,130.0,0.0,2021-04-26
134,629907,PFBCOLOM  ,18278488500,28800.0,-2.07,2021-04-23
135,5199199,ECOPETROL ,11619246879,2228.0,-0.98,2021-04-23
136,1337616,CEMARGOS  ,7062718195,5235.0,-1.69,2021-04-23
137,320000,HCOLSEL   ,3863860000,12071.0,-1.14,2021-04-23
138,166247,ISA       ,3725870350,22300.0,-0.89,2021-04-23
139,2612815,PFAVAL    ,2991457073,1140.0,-0.87,2021-04-23
140,88462,BCOLOMBIA ,2551081130,28800.0,-1.91,2021-04-23
141,75941,CORFICOLCF,2466561540,32350.0,-0.77,2021-04-23
142,184245,BVC       ,2296174760,12480.0,0.48,2021-04-23
143,99221,GRUPOSURA ,2068143270,20620.0,-1.15,2021-04-23
144,64208,PFDAVVNDA ,1938086200,30040.0,-1.12,2021-04-23
145,129205,ICOLCAP   ,1700675030,13110.0,-0.83,2021-04-23
146,613906,GEB       ,1611215229,2619.0,-0.42,2021-04-23
147,67514,NUTRESA   ,1479958810,21980.0,-0.95,2021-04-23
